temperature,resistance
-80,7389000
-79,6757530
-78,6184463
-77,5664013
-76,5190990
-75,4760763
-74,4369173
-73,4012500
-72,3687397
-71,3390863
-70,3120207
-69,2872997
-68,2647053
-67,2440407
-66,2251290
-65,2078100
-64,1919397
-63,1773873
-62,1640357
-61,1517777
-60,1405170
-59,1301663
-58,1206463
-57,1118853
-56,1038180
-55,963849
-54,895332
-53,832130
-52,773799
-51,719934
-50,670166
-49,624159
-48,581605
-47,542225
-46,505763
-45,471985
-44,440674
-43,411640
-42,384703
-41,359700
-40,336479
-39,314904
-38,294848
-37,276194
-36,258838
-35,242681
-34,227632
-33,213610
-32,200539
-31,188349
-30,176974
-29,166356
-28,156441
-27,147177
-26,138518
-25,130421
-24,122847
-23,115759
-22,109122
-21,102906
-20,97081
-19,91621
-18,86501
-17,81698
-16,77190
-15,72957
-14,68982
-13,65246
-12,61736
-11,58434
-10,55329
-9,52407
-8,49656
-7,47066
-6,44626
-5,42327
-4,40159
-3,38115
-2,36187
-1,34368
0,32650
1,31029
2,29498
3,28052
4,26685
5,25392
6,24170
7,23013
8,21918
9,20882
10,19901
11,18971
12,18090
13,17255
14,16463
15,15712
16,14999
17,14323
18,13681
19,13072
20,12493
21,11942
22,11419
23,10922
24,10450
25,10000
26,9572
27,9165
28,8777
29,8408
30,8057
31,7722
32,7402
33,7098
34,6808
35,6531
36,6267
37,6015
38,5775
39,5545
40,5326
41,5117
42,4917
43,4725
44,4543
45,4368
46,4201
47,4041
48,3888
49,3742
50,3602
51,3468
52,3340
53,3217
54,3099
55,2986
56,2878
57,2774
58,2675
59,2579
60,2488
61,2400
62,2316
63,2235
64,2157
65,2083
66,2011
67,1942
68,1876
69,1813
70,1752
71,1693
72,1637
73,1582
74,1530
75,1480
76,1432
77,1385
78,1340
79,1297
80,1255
81,1215
82,1177
83,1140
84,1104
85,1070
86,1037
87,1005
88,973.8
89,944.1
90,915.5
91,887.8
92,861.2
93,835.4
94,810.6
95,786.6
96,763.5
97,741.2
98,719.6
99,698.7
100,678.6
101,659.1
102,640.3
103,622.2
104,604.6
105,587.6
106,571.2
107,555.3
108,539.9
109,525
110,510.6
111,496.7
112,483.2
113,470.1
114,457.5
115,445.3
116,433.4
117,421.9
118,410.8
119,400
120,389.6
121,379.4
122,369.6
123,360.1
124,350.9
125,341.9
126,333.2
127,324.8
128,316.6
129,308.7
130,301
131,293.5
132,286.3
133,279.2
134,272.4
135,265.8
136,259.3
137,253.1
138,247
139,241.1
140,235.3
141,229.7
142,224.3
143,219
144,213.9
145,208.9
146,204.1
147,199.4
148,194.8
149,190.3
150,186.1
151,181.85
152,177.71
153,173.69
154,169.77
155,165.96
156,162.25
157,158.63
158,155.12
159,151.7
160,148.36
161,145.12
162,141.96
163,138.88
164,135.88
165,132.95
166,130.11
167,127.33
168,124.63
169,122
170,119.43
171,116.92
172,114.48
173,112.1
174,109.78
175,107.52
176,105.31
177,103.16
178,101.06
179,99.01
180,97.02
181,95.07
182,93.16
183,91.31
184,89.49
185,87.72
186,86
187,84.31
188,82.67
189,81.06
190,79.49
191,77.96
192,76.46
193,75
194,73.57
195,72.17
196,70.81
197,69.48
198,68.18
199,66.9
200,65.66
201,64.44
202,63.26
203,62.09
204,60.96
205,59.85
206,58.76
207,57.7
208,56.66
209,55.65
210,54.65
211,53.68
212,52.73
213,51.8
214,50.89
215,50
216,49.13
217,48.27
218,47.44
219,46.62
220,45.82
221,45.04
222,44.27
223,43.52
224,42.78
225,42.06
226,41.36
227,40.67
228,39.99
229,39.33
230,38.68
231,38.04
232,37.42
233,36.81
234,36.21
235,35.62
236,35.05
237,34.49
238,33.93
239,33.39
240,32.86
241,32.34
242,31.83
243,31.33
244,30.84
245,30.36
246,29.89
247,29.43
248,28.97
249,28.53
250,28.09
251,27.66
252,27.24
253,26.83
254,26.42
255,26.03
256,25.64
257,25.26
258,24.88
259,24.51
260,24.15
261,23.8
262,23.45
263,23.11
264,22.77
265,22.44
266,22.12
267,21.8
268,21.49
269,21.18
270,20.88
271,20.58
272,20.29
273,20.01
274,19.73
275,19.45
276,19.18
277,18.91
278,18.65
279,18.39
280,18.14
281,17.89
282,17.65
283,17.41
284,17.17
285,16.94
286,16.72
287,16.49
288,16.27
289,16.06
290,15.84
291,15.63
292,15.43
293,15.23
294,15.03
295,14.83
296,14.64
297,14.45
298,14.26
299,14.08
300,13.9
